Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
1463,Rafael LeAo,pt POR,FW,Milan,it Serie A,25,1999,34,25,2323,25.8,8,8,16,8,0,0,5,0,7.6,7.6,8.4,15.9,123,93,262,0.62,0.62,66,29,43.9,2.56,1.12,0.12,0.28,16.6,0
1465,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,31,1993,20,17,1526,17,2,2,4,2,0,0,7,0,1.3,1.3,2.8,4,23,105,36,0.24,0.24,22,8,36.4,1.3,0.47,0.09,0.25,22.8,0
1466,Jordan Lefort,fr FRA,DF,Angers,fr Ligue 1,30,1993,34,34,3060,34,0,1,1,0,0,0,3,0,0.6,0.6,1.1,1.6,6,89,13,0.03,0.05,9,1,11.1,0.26,0.03,0,0,12.9,1
1467,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,25,1999,30,29,2546,28.3,1,2,3,1,0,0,3,0,1.4,1.4,1,2.4,20,116,16,0.11,0.08,18,8,44.4,0.64,0.28,0.06,0.13,13.8,0
1468,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,26,1998,14,6,674,7.5,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,4,25,5,0.13,0.19,6,1,16.7,0.8,0.13,0.17,1,12.4,0
1469,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,33,1991,37,37,3325,36.9,2,3,5,2,0,0,8,0,3.6,3.6,1.9,5.4,21,143,5,0.14,0.15,58,17,29.3,1.57,0.46,0.03,0.12,23.9,20
1473,Thomas Lemar,fr FRA,MF,Atletico Madrid,es La Liga,28,1995,5,0,85,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,1,8,4,0,0.5,2,1,50,2.12,1.06,0,0,23.4,1
1474,FAlix LemarAchal,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,20,2003,27,20,1779,19.8,4,3,7,4,0,0,2,0,3.5,3.5,2.9,6.4,35,58,90,0.35,0.32,25,9,36,1.26,0.46,0.16,0.44,14.4,0
1475,Mario Lemina,ga GAB,"MF,DF",Wolves,eng Premier League,30,1993,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.26,0.17,18,5,27.8,1.19,0.33,0.06,0.2,21.9,0
1476,ClAment Lenglet,fr FRA,DF,Atletico Madrid,es La Liga,29,1995,23,23,1972,21.9,2,1,3,2,0,0,9,0,2.4,2.4,1.1,3.5,16,79,1,0.14,0.16,10,4,40,0.46,0.18,0.2,0.5,14.9,1
1479,Giovanni Leoni,it ITA,DF,Parma,it Serie A,17,2006,17,14,1199,13.3,1,0,1,1,0,0,3,1,0.1,0.1,0,0.1,0,21,5,0.08,0.01,2,1,50,0.15,0.08,0.5,1,9.6,0
1480,Esteban Lepaul,fr FRA,FW,Angers,fr Ligue 1,24,2000,28,18,1629,18.1,9,0,9,9,0,0,2,0,5.1,5.1,0.8,6,26,20,68,0.5,0.33,41,17,41.5,2.27,0.94,0.22,0.53,13.2,0
1481,Johann Lepenant,fr FRA,MF,Nantes,fr Ligue 1,21,2002,29,23,2048,22.8,2,1,3,2,0,0,3,0,1.4,1.4,0.9,2.3,25,89,62,0.13,0.1,20,5,25,0.88,0.22,0.1,0.4,17.1,0
1482,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,29,1994,33,26,2274,25.3,0,1,1,0,0,0,9,0,1.1,1.1,1.6,2.7,13,97,26,0.04,0.11,26,8,30.8,1.03,0.32,0,0,19.8,0
1483,Louis Leroux,fr FRA,"MF,DF",Nantes,fr Ligue 1,18,2006,16,8,816,9.1,2,1,3,2,0,0,1,0,1.5,1.5,1.3,2.8,11,31,14,0.33,0.31,9,5,55.6,0.99,0.55,0.22,0.4,14.2,0
1484,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,35,1988,34,32,2667,29.6,27,2,29,24,3,4,1,0,27.1,24,2.3,26.3,27,48,164,0.88,0.99,111,45,40.5,3.75,1.52,0.22,0.53,13.2,5
1485,Jamie Leweling,de GER,"MF,FW",Stuttgart,de Bundesliga,23,2001,27,22,1663,18.5,2,2,4,2,0,0,4,0,1.6,1.6,3.8,5.4,55,51,164,0.22,0.29,29,16,55.2,1.57,0.87,0.07,0.13,19.4,0
1486,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,19,2004,28,21,1893,21,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,39,107,78,0.14,0.08,10,2,20,0.48,0.1,0.1,0.5,15.8,0
1487,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,eng Premier League,23,2001,38,36,3093,34.4,1,3,4,1,0,0,7,0,3.1,3.1,3.2,6.3,98,98,156,0.12,0.18,28,14,50,0.81,0.41,0.04,0.07,20.2,1
1488,Myles Lewis-Skelly,eng ENG,DF,Arsenal,eng Premier League,17,2006,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0.04,3,1,33.3,0.2,0.07,0.33,1,14.7,0
1491,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,28,1996,32,31,2770,30.8,1,0,1,1,0,0,5,0,0.5,0.5,0.8,1.2,44,138,9,0.03,0.04,8,1,12.5,0.26,0.03,0.13,1,13.8,0
1492,Matthijs de Ligt,nl NED,DF,Manchester Utd,eng Premier League,24,1999,29,25,2123,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.12,18,9,50,0.76,0.38,0.11,0.22,7.9,0
1493,Pedro Lima,br BRA,DF,Wolves,eng Premier League,18,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0,0.16,1,1,100,1.29,1.29,0,0,22.5,0
1495,Jesper LindstrA m,dk DEN,FW,Everton,eng Premier League,24,2000,25,15,1239,13.8,0,1,1,0,0,0,2,0,2.1,2.1,2,4.1,30,25,81,0.07,0.3,28,10,35.7,2.03,0.73,0,0,21,6
1496,Karol Linetty,pl POL,MF,Torino,it Serie A,29,1995,28,18,1540,17.1,1,0,1,1,0,0,6,0,1.1,1.1,0.9,2,18,47,19,0.06,0.12,17,4,23.5,0.99,0.23,0.06,0.25,20.9,0
1497,Samuel Lino,br BRA,"MF,DF",Atletico Madrid,es La Liga,24,1999,31,21,1552,17.2,3,4,7,3,0,0,3,0,6,6,2.9,8.9,72,73,179,0.41,0.52,45,18,40,2.61,1.04,0.07,0.17,16.3,0
1498,Pol Lirola,es ESP,DF,Marseille,fr Ligue 1,26,1997,19,5,680,7.6,1,2,3,1,0,0,1,1,0.6,0.6,0.7,1.3,12,21,40,0.4,0.17,6,1,16.7,0.79,0.13,0.17,1,17,0
1499,Dailon Livramento,cv CPV,"FW,MF",Hellas Verona,it Serie A,23,2001,29,8,940,10.4,1,1,2,1,0,0,2,1,1.8,1.8,0.9,2.7,23,13,67,0.19,0.26,13,4,30.8,1.24,0.38,0.08,0.25,12,0
1500,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,21,2002,37,32,2840,31.6,0,1,1,0,0,0,1,0,0.3,0.3,2.6,2.9,83,158,119,0.03,0.09,6,2,33.3,0.19,0.06,0,0,19.7,0
1501,Marin Ljubicic,hr CRO,"FW,MF",Union Berlin,de Bundesliga,22,2002,13,1,281,3.1,1,1,2,1,0,0,1,0,0.4,0.4,0.6,1.1,1,6,19,0.64,0.34,2,1,50,0.64,0.32,0.5,1,17.7,0
1503,Diego Llorente,es ESP,DF,Betis,es La Liga,30,1993,30,29,2519,28,2,0,2,2,0,0,4,0,1.5,1.5,0.3,1.8,7,81,3,0.07,0.06,11,4,36.4,0.39,0.14,0.18,0.5,11.3,0
1504,Marcos Llorente,es ESP,"DF,MF",Atletico Madrid,es La Liga,29,1995,33,28,2513,27.9,2,4,6,2,0,0,0,1,0.8,0.8,4.3,5.1,82,111,151,0.21,0.18,16,5,31.3,0.57,0.18,0.13,0.4,19.2,0
1505,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,29,1995,31,31,2768,30.8,2,1,3,2,0,0,5,0,1.2,1.2,0.9,2,13,99,7,0.1,0.07,11,2,18.2,0.36,0.07,0.18,1,12.8,0
1506,Giovani Lo Celso,ar ARG,"MF,FW",Betis,es La Liga,28,1996,25,15,1457,16.2,8,3,11,6,2,3,4,0,4.8,2.4,4.9,7.3,26,132,66,0.56,0.59,31,16,51.6,1.91,0.99,0.19,0.38,22,4
1508,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,26,1998,36,34,2822,31.4,2,2,4,1,1,1,9,0,1.8,1,2.5,3.5,33,294,33,0.1,0.14,24,7,29.2,0.77,0.22,0.04,0.14,22.7,0
1510,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,28,1996,19,10,1037,11.5,0,0,0,0,0,0,3,0,0.7,0.7,1.9,2.6,27,51,32,0,0.22,9,2,22.2,0.78,0.17,0,0,16.6,0
1512,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,23,2000,17,7,684,7.6,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.4,3,31,3,0,0.06,7,4,57.1,0.92,0.53,0,0,25.9,0
1513,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,26,1997,25,8,798,8.9,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,40,22,0,0.09,6,1,16.7,0.68,0.11,0,0,13.5,0
1514,Ademola Lookman,ng NGA,"MF,FW",Atalanta,it Serie A,26,1997,31,28,2247,25,15,5,20,14,1,1,4,0,10.3,9.5,7.1,16.7,142,73,316,0.76,0.7,81,32,39.5,3.24,1.28,0.17,0.44,14.7,0
1517,David LA3pez,es ESP,DF,Girona,es La Liga,34,1989,29,27,2429,27,1,1,2,1,0,0,4,0,0.9,0.9,0.6,1.5,17,132,7,0.07,0.06,12,3,25,0.44,0.11,0.08,0.33,15.9,0
1518,Diego LA3pez,es ESP,"MF,FW",Valencia,es La Liga,22,2002,38,35,2737,30.4,8,5,13,8,0,0,3,0,6.6,6.6,5,11.6,76,85,219,0.43,0.38,44,14,31.8,1.45,0.46,0.18,0.57,15.1,0
1520,Fermin LA3pez,es ESP,"MF,FW",Barcelona,es La Liga,21,2003,28,12,1252,13.9,6,5,11,6,0,0,4,1,5.6,5.6,3.9,9.5,31,79,108,0.79,0.69,41,15,36.6,2.95,1.08,0.15,0.4,18,0
1521,Javi LA3pez,es ESP,DF,Real Sociedad,es La Liga,22,2002,29,21,1936,21.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,36,73,64,0,0.03,5,1,20,0.23,0.05,0,0,22.5,0
1523,Roberto LA3pez,es ESP,MF,Leganes,es La Liga,24,2000,13,3,396,4.4,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,3,20,11,0.23,0.31,6,1,16.7,1.36,0.23,0,0,27.3,0
1524,Unai LA3pez,es ESP,MF,Rayo Vallecano,es La Liga,28,1995,32,23,1707,19,3,1,4,3,0,0,9,1,1.6,1.6,1,2.6,22,112,40,0.21,0.14,26,11,42.3,1.37,0.58,0.12,0.27,22.8,1
1526,Iker Losada,es ESP,"MF,FW",Betis,es La Liga,22,2001,10,3,336,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,9,14,16,0,0.21,5,1,20,1.34,0.27,0,0,18.5,0
1529,Tom Louchet,fr FRA,"DF,MF",Nice,fr Ligue 1,21,2003,22,7,775,8.6,1,0,1,1,0,0,1,0,0.8,0.8,1.2,1.9,19,36,37,0.12,0.22,12,4,33.3,1.39,0.46,0.08,0.25,20,1
1530,Sandi LovriA,si SVN,MF,Udinese,it Serie A,26,1998,36,31,2308,25.6,2,3,5,2,0,0,5,0,2.6,2.6,3.4,6,60,120,71,0.19,0.24,49,12,24.5,1.91,0.47,0.04,0.17,22.5,5
1531,Pol Lozano,es ESP,MF,Espanyol,es La Liga,24,1999,30,27,1943,21.6,0,1,1,0,0,0,12,0,0.2,0.2,0.8,1,18,115,12,0.05,0.05,8,2,25,0.37,0.09,0,0,29.7,0
1532,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,23,2000,33,27,2353,26.1,12,1,13,11,1,1,10,0,7.6,6.8,1.6,8.4,15,18,98,0.46,0.35,64,25,39.1,2.45,0.96,0.17,0.44,13.6,0
1533,Jhon LucumA,co COL,DF,Bologna,it Serie A,26,1998,32,29,2614,29,0,1,1,0,0,0,8,1,0.6,0.6,0.4,1,34,108,7,0.03,0.03,13,2,15.4,0.45,0.07,0,0,11,0
1535,JosA Luis GayA,es ESP,DF,Valencia,es La Liga,29,1995,23,22,1803,20,0,1,1,0,0,0,7,0,1,1,2.6,3.6,29,59,156,0.05,0.18,12,4,33.3,0.6,0.2,0,0,19.3,0
1536,JosA Luis Palomino,ar ARG,DF,Cagliari,it Serie A,34,1990,18,10,1081,12,1,0,1,1,0,0,3,0,0.5,0.5,0,0.5,4,35,1,0.08,0.04,2,1,50,0.17,0.08,0.5,1,4.6,0
1537,Douglas Luiz,br BRA,MF,Juventus,it Serie A,26,1998,19,3,529,5.9,0,0,0,0,0,0,2,0,0.6,0.6,1,1.6,16,35,12,0,0.27,8,2,25,1.36,0.34,0,0,19.8,0
1538,Romelu Lukaku,be BEL,FW,Napoli,it Serie A,31,1993,36,35,2843,31.6,14,10,24,11,3,4,4,0,13,9.8,4,13.8,31,36,219,0.66,0.54,60,20,33.3,1.9,0.63,0.18,0.55,14.3,1
1539,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,21,2002,23,18,1577,17.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,18,80,23,0,0.04,4,1,25,0.23,0.06,0,0,15.6,0
1540,Dodi Lukebakio,be BEL,FW,Sevilla,es La Liga,26,1997,38,36,3092,34.4,11,2,13,10,1,1,3,1,10.1,9.3,4.5,13.8,131,93,247,0.35,0.42,93,38,40.9,2.71,1.11,0.11,0.26,19.2,2
1541,SaAa LukiA,rs SRB,MF,Fulham,eng Premier League,27,1996,30,28,2344,26,0,2,2,0,0,0,12,0,1.2,1.2,2.7,3.9,39,98,33,0.08,0.15,18,2,11.1,0.69,0.08,0,0,20.2,0
1547,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,27,1996,36,36,3240,36,1,3,4,1,0,0,4,0,2.2,2.2,1.3,3.4,22,96,11,0.11,0.1,21,5,23.8,0.58,0.14,0.05,0.2,12.4,0
1548,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,22,2002,26,19,1606,17.8,2,2,4,2,0,0,2,0,2.1,2.1,3.1,5.2,70,31,125,0.22,0.29,23,4,17.4,1.29,0.22,0.09,0.5,16,0
1549,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,30,1993,17,12,1048,11.6,0,4,4,0,0,0,3,0,0.2,0.2,1.6,1.8,10,49,36,0.34,0.16,6,2,33.3,0.52,0.17,0,0,21.4,2
1550,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,25,1999,32,32,2733,30.4,0,1,1,0,0,0,9,0,1.1,1.1,0.6,1.7,9,91,28,0.03,0.06,24,3,12.5,0.79,0.1,0,0,22,0
1552,Othmane Maamma,ma MAR,"FW,MF",Montpellier,fr Ligue 1,18,2005,12,2,361,4,1,1,2,1,0,0,1,0,0.7,0.7,0.2,0.9,8,2,24,0.5,0.29,10,3,30,2.49,0.75,0.1,0.33,14.7,0
1553,Ian Maatsen,nl NED,DF,Aston Villa,eng Premier League,22,2002,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.9,0.9,2.7,3.6,31,50,104,0.24,0.28,19,5,26.3,1.5,0.4,0.05,0.2,22.1,0
1554,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,25,1998,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.35,0.26,38,13,34.2,1.32,0.45,0.13,0.38,18.1,1
1555,Deiver Machado,co COL,"DF,MF",Lens,fr Ligue 1,30,1993,27,20,1805,20.1,1,4,5,1,0,0,7,2,2.3,2.3,2.1,4.3,42,45,80,0.25,0.22,23,5,21.7,1.15,0.25,0.04,0.2,19.2,1
1557,Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,de Bundesliga,24,1999,32,23,1953,21.7,11,2,13,9,2,2,2,0,6.5,4.9,3,7.9,30,59,108,0.51,0.44,49,21,42.9,2.26,0.97,0.18,0.43,17.2,4
1558,Darwin MachAs,ve VEN,"MF,FW",Valladolid,es La Liga,31,1993,18,7,639,7.1,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,17,19,43,0.14,0.2,14,2,14.3,1.97,0.28,0,0,22.1,1
1559,Yvann Macon,fr FRA,DF,Saint-Atienne,fr Ligue 1,25,1998,12,10,790,8.8,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,25,46,40,0,0.07,10,2,20,1.14,0.23,0,0,20.3,0
1560,James Maddison,eng ENG,MF,Tottenham,eng Premier League,27,1996,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10,45,164,95,0.8,0.5,39,17,43.6,1.94,0.85,0.23,0.53,16.7,6
1562,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,22,2002,32,27,2033,22.6,7,3,10,7,0,0,3,0,9.6,9.6,4.2,13.9,154,69,226,0.44,0.61,80,30,37.5,3.54,1.33,0.09,0.23,14.4,0
1563,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,27,1997,30,28,2368,26.3,0,2,2,0,0,0,7,0,0.3,0.3,4.1,4.4,46,74,122,0.08,0.17,7,1,14.3,0.27,0.04,0,0,19,0
1564,Gabriel MagalhAes,br BRA,DF,Arsenal,eng Premier League,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.15,0.13,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0
1565,Soungoutou Magassa,fr FRA,MF,Monaco,fr Ligue 1,20,2003,21,12,1025,11.4,0,1,1,0,0,0,5,1,0.5,0.5,0.9,1.4,6,63,11,0.09,0.12,8,3,37.5,0.7,0.26,0,0,19,0
1567,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,28,1995,17,11,1065,11.8,1,0,1,1,0,0,2,0,1.1,1.1,0,1.2,4,31,7,0.08,0.1,11,2,18.2,0.93,0.17,0.09,0.5,10.7,0
1568,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,26,1998,32,27,2323,25.8,1,0,1,1,0,0,5,0,0.8,0.8,0.4,1.2,21,80,20,0.04,0.05,19,6,31.6,0.74,0.23,0.05,0.17,25.3,0
1569,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,24,1999,31,17,1516,16.8,5,1,6,5,0,0,5,1,6,6,1.5,7.5,17,25,80,0.36,0.45,44,18,40.9,2.61,1.07,0.11,0.28,12.4,0
1570,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,31,1993,27,19,1758,19.5,1,0,1,1,0,0,7,0,1.8,1.8,0.6,2.4,7,51,7,0.05,0.12,15,6,40,0.77,0.31,0.07,0.17,8.2,0
1572,Arne Maier,de GER,MF,Augsburg,de Bundesliga,25,1999,28,7,938,10.4,0,0,0,0,0,0,0,1,1.5,1.5,1.5,3,19,44,56,0,0.29,18,6,33.3,1.73,0.58,0,0,24.3,3
1574,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,29,1994,34,34,3060,34,1,1,2,1,0,0,3,0,1.9,1.9,0.3,2.3,21,102,12,0.06,0.07,25,8,32,0.74,0.24,0.04,0.13,14.1,0
1575,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,19,2005,25,19,1651,18.3,0,0,0,0,0,0,5,0,0.7,0.7,1.6,2.3,22,65,47,0,0.12,15,2,13.3,0.82,0.11,0,0,20.5,0
1576,Ainsley Maitland-Niles,eng ENG,DF,Lyon,fr Ligue 1,26,1997,32,20,1985,22.1,1,4,5,1,0,0,1,0,2.9,2.9,3.4,6.4,33,102,110,0.23,0.29,22,7,31.8,1,0.32,0.05,0.14,16,0
1578,Lovro Majer,hr CRO,MF,Wolfsburg,de Bundesliga,26,1998,9,3,304,3.4,2,1,3,1,1,1,1,0,1.4,0.6,1.1,1.7,8,17,10,0.59,0.72,6,4,66.7,1.78,1.18,0.17,0.25,21.7,0
1585,JuliAn Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,23,2001,10,5,454,5,1,1,2,1,0,0,1,0,0.2,0.2,0.5,0.7,8,24,4,0.4,0.14,3,1,33.3,0.59,0.2,0.33,1,7.3,0
1586,Daniel Maldini,it ITA,"MF,FW",Monza,it Serie A,22,2001,20,16,1306,14.5,3,0,3,3,0,0,5,0,4.8,4.8,0.9,5.7,41,34,66,0.21,0.39,39,13,33.3,2.69,0.9,0.08,0.23,19.7,5
1587,Daniel Maldini,it ITA,"FW,MF",Atalanta,it Serie A,22,2001,10,2,258,2.9,3,0,3,3,0,0,0,0,1.9,1.9,0.2,2.1,12,7,30,1.05,0.74,10,5,50,3.49,1.74,0.3,0.6,15.5,0
1588,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,25,1998,22,17,1510,16.8,0,1,1,0,0,0,5,1,0.9,0.9,0.9,1.8,10,72,37,0.06,0.1,17,3,17.6,1.01,0.18,0,0,24,0
1589,Donyell Malen,nl NED,FW,Aston Villa,eng Premier League,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0.69,15,9,60,4.43,2.66,0.2,0.33,15.2,0
1591,Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,it Serie A,31,1993,9,4,383,4.3,0,2,2,0,0,0,2,0,0.2,0.2,1.5,1.7,3,32,10,0.47,0.41,9,3,33.3,2.11,0.7,0,0,30.2,3
1596,Dennis Man,ro ROU,"FW,MF",Parma,it Serie A,25,1998,33,23,1995,22.2,4,4,8,4,0,0,0,0,5.5,5.5,4.2,9.7,67,60,142,0.36,0.44,49,20,40.8,2.21,0.9,0.08,0.2,17.1,0
1597,Hianga Mananga Mbock,fr FRA,MF,Brest,fr Ligue 1,24,1999,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,1,1,100,4.29,4.29,0,0,36.4,0
1598,Gianluca Mancini,it ITA,DF,Roma,it Serie A,28,1996,37,36,3143,34.9,2,0,2,2,0,0,8,0,1.7,1.7,0.9,2.6,45,139,23,0.06,0.07,22,5,22.7,0.63,0.14,0.09,0.4,12.3,0
1601,Reinildo Mandava,mz MOZ,DF,Atletico Madrid,es La Liga,30,1994,19,10,941,10.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,34,15,0,0.02,1,1,100,0.1,0.1,0,0,9.3,0
1602,AA ssa Mandi,dz ALG,DF,Lille,fr Ligue 1,32,1991,24,20,1733,19.3,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.8,12,82,21,0,0.04,6,2,33.3,0.31,0.1,0,0,9,0
1603,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,27,1997,28,22,1856,20.6,4,2,6,3,1,1,7,0,2.7,1.9,4.8,6.6,11,92,34,0.24,0.35,37,14,37.8,1.79,0.68,0.08,0.21,24.6,6
1605,Orel Mangala,be BEL,MF,Everton,eng Premier League,26,1998,19,14,1261,14,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.13,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0
1607,Ryan Manning,ie IRL,"DF,MF",Southampton,eng Premier League,28,1996,24,18,1462,16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0.06,0.22,8,1,12.5,0.49,0.06,0,0,22,1
1609,Johan Manzambi,ch SUI,"FW,MF",Freiburg,de Bundesliga,18,2005,11,4,335,3.7,2,1,3,2,0,0,2,0,1.3,1.3,0.4,1.8,7,10,12,0.81,0.47,11,3,27.3,2.96,0.81,0.18,0.67,16.4,0
1611,Sekou Mara,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,22,2002,25,7,768,8.5,1,1,2,1,0,0,2,0,2,2,1,3,9,11,47,0.23,0.35,19,5,26.3,2.23,0.59,0.05,0.2,16.2,0
1613,Alessandro Marcandalli,it ITA,DF,Venezia,it Serie A,21,2002,8,5,354,3.9,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,10,1,0,0.07,2,1,50,0.51,0.25,0,0,6.3,0
1617,Ascar de Marcos,es ESP,DF,Athletic Club,es La Liga,35,1989,26,17,1564,17.4,0,4,4,0,0,0,0,0,1,1,2.6,3.6,26,102,78,0.23,0.21,8,2,25,0.46,0.12,0,0,19.7,0
1620,Pablo MarA,es ESP,DF,Fiorentina,it Serie A,30,1993,13,12,1098,12.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,2,27,0,0,0.01,5,1,20,0.41,0.08,0,0,21.6,0
1621,JosA MarAa GimAnez,uy URU,DF,Atletico Madrid,es La Liga,29,1995,27,20,1999,22.2,0,1,1,0,0,0,5,0,0.4,0.4,0.2,0.7,3,64,1,0.05,0.03,5,1,20,0.23,0.05,0,0,8.6,0
1622,Luca Marianucci,it ITA,DF,Empoli,it Serie A,20,2004,18,12,1069,11.9,0,0,0,0,0,0,0,1,0.6,0.6,0.2,0.8,12,28,3,0,0.07,8,2,25,0.67,0.17,0,0,18.6,0
1625,Arkaitz Mariezkurrena,es ESP,"FW,MF",Real Sociedad,es La Liga,19,2005,9,1,241,2.7,2,0,2,2,0,0,1,0,1,1,0.1,1.1,3,4,12,0.75,0.41,10,5,50,3.73,1.87,0.2,0.4,16.9,0
1626,Rafa MarAn,es ESP,DF,Napoli,it Serie A,22,2002,4,1,142,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,5,0,0,0.14,2,1,50,1.27,0.63,0,0,16.6,0
1627,Pablo MarAn,es ESP,MF,Real Sociedad,es La Liga,21,2003,23,14,1239,13.8,1,2,3,1,0,0,3,0,1.4,1.4,1,2.4,20,45,47,0.22,0.17,21,7,33.3,1.53,0.51,0.05,0.14,18.5,0
1628,RAzvan Marin,ro ROU,MF,Cagliari,it Serie A,28,1996,33,13,1406,15.6,3,2,5,1,2,2,4,0,2.4,0.8,3.6,4.5,22,84,29,0.19,0.39,21,8,38.1,1.34,0.51,0.05,0.13,25.6,2
1629,Guillermo MaripAn,cl CHI,DF,Torino,it Serie A,30,1994,28,27,2340,26,1,1,2,1,0,0,4,1,0.9,0.9,1,2,14,96,9,0.08,0.08,12,5,41.7,0.46,0.19,0.08,0.2,12.8,0
1631,Omar Marmoush,eg EGY,"FW,MF",Manchester City,eng Premier League,25,1999,16,14,1175,13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0.64,49,17,34.7,3.75,1.3,0.14,0.41,18.6,7
1634,Marquinhos,br BRA,DF,Paris S-G,fr Ligue 1,30,1994,22,19,1725,19.2,2,0,2,2,0,0,3,0,1.1,1.1,0.8,1.9,29,151,4,0.1,0.1,8,3,37.5,0.42,0.16,0.25,0.67,9.7,0
1636,Ange Martial Tia,ml MLI,"MF,DF",Reims,fr Ligue 1,17,2006,6,2,171,1.9,0,0,0,0,0,0,0,0,1.3,1.3,0,1.3,2,8,9,0,0.7,4,2,50,2.11,1.05,0,0,13.4,0
