Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK
299,IsmaAl Bennacer,dz ALG,MF,Milan,it Serie A,26,1997,6,4,300,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,8,23,12,0,0.07,3,2,66.7,0.9,0.6,0,0,31.1,0
301,SaA d Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,28,1995,13,9,735,8.2,1,3,4,1,0,0,0,0,2,2,2.1,4,41,32,109,0.49,0.49,17,4,23.5,2.08,0.49,0.06,0.25,20.2,1
302,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,29,1995,31,23,2022,22.5,1,6,7,1,0,0,6,0,1.3,1.3,3.2,4.5,26,128,58,0.31,0.2,20,2,10,0.89,0.09,0.05,0.5,13.7,0
303,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,29,1994,10,3,329,3.7,1,0,1,1,0,0,0,0,0.7,0.7,0,0.8,2,23,5,0.27,0.21,5,1,20,1.37,0.27,0.2,1,24.8,2
304,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,27,1997,26,21,1645,18.3,2,0,2,2,0,0,9,0,1.3,1.3,0.4,1.7,28,100,34,0.11,0.1,22,5,22.7,1.2,0.27,0.09,0.4,17.4,0
306,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,20,2003,25,22,2011,22.3,1,0,1,1,0,0,6,0,0.9,0.9,0.4,1.2,9,131,0,0.04,0.06,12,4,33.3,0.54,0.18,0.08,0.25,14.2,0
307,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,34,1990,30,22,2044,22.7,0,2,2,0,0,0,5,0,0.6,0.6,2.2,2.8,43,161,66,0.09,0.12,16,4,25,0.7,0.18,0,0,25.2,2
308,Alex Berenguer,es ESP,"FW,MF",Athletic Club,es La Liga,29,1995,36,28,2339,26,6,7,13,6,0,1,5,0,6.8,6,5,11,65,78,216,0.5,0.45,51,18,35.3,1.96,0.69,0.12,0.33,18.4,3
309,Sander Berge,no NOR,MF,Fulham,eng Premier League,26,1998,31,26,2224,24.7,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1,29,124,9,0,0.04,3,1,33.3,0.12,0.04,0,0,8.7,0
310,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,18,2006,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.07,0.09,12,2,16.7,0.89,0.15,0,0,19.9,0
311,Medon Berisha,al ALB,MF,Lecce,it Serie A,20,2003,17,7,716,8,0,1,1,0,0,0,5,0,0.7,0.7,0.6,1.3,13,42,17,0.13,0.17,24,6,25,3.02,0.75,0,0,26.7,2
313,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,26,1998,2,0,40,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,0,8,0,0.39,3,1,33.3,6.75,2.25,0,0,15.9,0
314,Adrian Bernabe,es ESP,MF,Parma,it Serie A,23,2001,21,18,1453,16.1,1,1,2,1,0,0,1,0,1.3,1.3,1.1,2.4,37,115,20,0.12,0.15,27,5,18.5,1.67,0.31,0.04,0.2,26.2,7
315,Marc Bernal,es ESP,MF,Barcelona,es La Liga,17,2007,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,8,2,0,0.03,2,1,50,0.74,0.37,0,0,26,0
316,Bernardo,br BRA,DF,Bochum,de Bundesliga,29,1995,21,19,1782,19.8,0,0,0,0,0,0,5,0,0.7,0.7,0.7,1.4,14,100,14,0,0.07,8,2,25,0.4,0.1,0,0,8.6,0
317,Juan Bernat,es ESP,"DF,MF",Villarreal,es La Liga,31,1993,10,1,212,2.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,4,8,23,0.42,0.29,2,1,50,0.85,0.42,0,0,17.6,0
320,Antoine Bernede,fr FRA,MF,Hellas Verona,it Serie A,25,1999,14,7,594,6.6,1,0,1,1,0,0,2,0,0.8,0.8,0.5,1.2,7,29,22,0.15,0.19,4,2,50,0.61,0.3,0.25,0.5,21,0
